waveform	[0]		[1]	
t0	2016/05/30  15:59:01.432349		2016/05/30  15:59:01.432350	
delta t	2.000000E-6		2.000000E-6	

time[0]	Y[0]	time[1]	Y[1]
2016/05/30  15:59:01.432349	4.351203E-1	2016/05/30  15:59:01.432350	3.988873E-1
2016/05/30  15:59:01.432351	4.883588E-1	2016/05/30  15:59:01.432352	3.064853E-1
2016/05/30  15:59:01.432353	4.864908E-1	2016/05/30  15:59:01.432354	2.232949E-1
2016/05/30  15:59:01.432355	4.874892E-1	2016/05/30  15:59:01.432356	1.481885E-1
2016/05/30  15:59:01.432357	4.868451E-1	2016/05/30  15:59:01.432358	8.065089E-2
2016/05/30  15:59:01.432359	4.898726E-1	2016/05/30  15:59:01.432360	1.958681E-2
2016/05/30  15:59:01.432361	4.875536E-1	2016/05/30  15:59:01.432362	-3.529357E-2
2016/05/30  15:59:01.432363	4.905167E-1	2016/05/30  15:59:01.432364	-8.473104E-2
2016/05/30  15:59:01.432365	4.901624E-1	2016/05/30  15:59:01.432366	-1.293375E-1
2016/05/30  15:59:01.432367	4.895827E-1	2016/05/30  15:59:01.432368	-1.697894E-1
2016/05/30  15:59:01.432369	4.916118E-1	2016/05/30  15:59:01.432370	-2.059577E-1
2016/05/30  15:59:01.432371	4.936408E-1	2016/05/30  15:59:01.432372	-2.388733E-1
2016/05/30  15:59:01.432373	4.877147E-1	2016/05/30  15:59:01.432374	-2.683427E-1
2016/05/30  15:59:01.432375	4.919983E-1	2016/05/30  15:59:01.432376	-2.952034E-1
2016/05/30  15:59:01.432377	4.902591E-1	2016/05/30  15:59:01.432378	-3.191332E-1
2016/05/30  15:59:01.432379	4.916762E-1	2016/05/30  15:59:01.432380	-3.409052E-1
2016/05/30  15:59:01.432381	4.896149E-1	2016/05/30  15:59:01.432382	-3.602296E-1
2016/05/30  15:59:01.432383	4.923847E-1	2016/05/30  15:59:01.432384	-3.780401E-1
2016/05/30  15:59:01.432385	4.916440E-1	2016/05/30  15:59:01.432386	-3.937895E-1
2016/05/30  15:59:01.432387	4.899048E-1	2016/05/30  15:59:01.432388	-4.079929E-1
2016/05/30  15:59:01.432389	4.918050E-1	2016/05/30  15:59:01.432390	-4.208758E-1
2016/05/30  15:59:01.432391	4.926746E-1	2016/05/30  15:59:01.432392	-4.324060E-1
2016/05/30  15:59:01.432393	4.920949E-1	2016/05/30  15:59:01.432394	-4.429378E-1
2016/05/30  15:59:01.432395	4.929645E-1	2016/05/30  15:59:01.432396	-4.524712E-1
2016/05/30  15:59:01.432397	4.921593E-1	2016/05/30  15:59:01.432398	-4.608774E-1
2016/05/30  15:59:01.432399	4.914507E-1	2016/05/30  15:59:01.432400	-4.686716E-1
2016/05/30  15:59:01.432401	4.935764E-1	2016/05/30  15:59:01.432402	-4.753385E-1
2016/05/30  15:59:01.432403	4.899370E-1	2016/05/30  15:59:01.432404	-4.814579E-1
2016/05/30  15:59:01.432405	4.946715E-1	2016/05/30  15:59:01.432406	-4.867722E-1
2016/05/30  15:59:01.432407	4.937697E-1	2016/05/30  15:59:01.432408	-4.916999E-1
2016/05/30  15:59:01.432409	4.930611E-1	2016/05/30  15:59:01.432410	-4.961445E-1
2016/05/30  15:59:01.432411	4.939307E-1	2016/05/30  15:59:01.432412	-4.998806E-1
2016/05/30  15:59:01.432413	4.930611E-1	2016/05/30  15:59:01.432414	-5.034879E-1
2016/05/30  15:59:01.432415	4.932865E-1	2016/05/30  15:59:01.432416	-5.065798E-1
2016/05/30  15:59:01.432417	4.923525E-1	2016/05/30  15:59:01.432418	-5.093496E-1
2016/05/30  15:59:01.432419	4.920949E-1	2016/05/30  15:59:01.432420	-5.118940E-1
2016/05/30  15:59:01.432421	4.935442E-1	2016/05/30  15:59:01.432422	-5.140197E-1
2016/05/30  15:59:01.432423	4.924492E-1	2016/05/30  15:59:01.432424	-5.160166E-1
2016/05/30  15:59:01.432425	4.947681E-1	2016/05/30  15:59:01.432426	-5.178524E-1
2016/05/30  15:59:01.432427	4.934154E-1	2016/05/30  15:59:01.432428	-5.192695E-1
2016/05/30  15:59:01.432429	4.925780E-1	2016/05/30  15:59:01.432430	-5.206545E-1
2016/05/30  15:59:01.432431	4.935764E-1	2016/05/30  15:59:01.432432	-5.218462E-1
2016/05/30  15:59:01.432433	4.931899E-1	2016/05/30  15:59:01.432434	-5.229734E-1
2016/05/30  15:59:01.432435	4.932221E-1	2016/05/30  15:59:01.432436	-5.237464E-1
2016/05/30  15:59:01.432437	4.954444E-1	2016/05/30  15:59:01.432438	-5.246482E-1
2016/05/30  15:59:01.432439	4.929323E-1	2016/05/30  15:59:01.432440	-5.253890E-1
2016/05/30  15:59:01.432441	4.937374E-1	2016/05/30  15:59:01.432442	-5.258721E-1
2016/05/30  15:59:01.432443	4.962496E-1	2016/05/30  15:59:01.432444	-5.262586E-1
2016/05/30  15:59:01.432445	4.938985E-1	2016/05/30  15:59:01.432446	-5.265163E-1
2016/05/30  15:59:01.432447	4.938019E-1	2016/05/30  15:59:01.432448	-5.269027E-1
2016/05/30  15:59:01.432449	4.946715E-1	2016/05/30  15:59:01.432450	-5.269350E-1
2016/05/30  15:59:01.432451	4.955411E-1	2016/05/30  15:59:01.432452	-5.272570E-1
2016/05/30  15:59:01.432453	4.957343E-1	2016/05/30  15:59:01.432454	-5.273214E-1
2016/05/30  15:59:01.432455	4.969260E-1	2016/05/30  15:59:01.432456	-5.275147E-1
2016/05/30  15:59:01.432457	4.944138E-1	2016/05/30  15:59:01.432458	-5.274825E-1
2016/05/30  15:59:01.432459	4.931255E-1	2016/05/30  15:59:01.432460	-5.273859E-1
2016/05/30  15:59:01.432461	4.965073E-1	2016/05/30  15:59:01.432462	-5.273214E-1
2016/05/30  15:59:01.432463	4.935764E-1	2016/05/30  15:59:01.432464	-5.272248E-1
2016/05/30  15:59:01.432465	4.959597E-1	2016/05/30  15:59:01.432466	-5.269027E-1
2016/05/30  15:59:01.432467	4.969582E-1	2016/05/30  15:59:01.432468	-5.267739E-1
2016/05/30  15:59:01.432469	4.947681E-1	2016/05/30  15:59:01.432470	-5.265485E-1
2016/05/30  15:59:01.432471	4.917084E-1	2016/05/30  15:59:01.432472	-5.262586E-1
2016/05/30  15:59:01.432473	4.929967E-1	2016/05/30  15:59:01.432474	-5.262264E-1
2016/05/30  15:59:01.432475	4.935764E-1	2016/05/30  15:59:01.432476	-5.259043E-1
2016/05/30  15:59:01.432477	4.937374E-1	2016/05/30  15:59:01.432478	-5.256144E-1
2016/05/30  15:59:01.432479	4.937374E-1	2016/05/30  15:59:01.432480	-5.253568E-1
2016/05/30  15:59:01.432481	4.932865E-1	2016/05/30  15:59:01.432482	-5.250025E-1
2016/05/30  15:59:01.432483	4.942528E-1	2016/05/30  15:59:01.432484	-5.246160E-1
2016/05/30  15:59:01.432485	4.914185E-1	2016/05/30  15:59:01.432486	-5.240363E-1
2016/05/30  15:59:01.432487	4.951546E-1	2016/05/30  15:59:01.432488	-5.237786E-1
2016/05/30  15:59:01.432489	4.920627E-1	2016/05/30  15:59:01.432490	-5.232955E-1
2016/05/30  15:59:01.432491	4.942850E-1	2016/05/30  15:59:01.432492	-5.229412E-1
2016/05/30  15:59:01.432493	4.974091E-1	2016/05/30  15:59:01.432494	-5.224581E-1
2016/05/30  15:59:01.432495	4.977634E-1	2016/05/30  15:59:01.432496	-5.222326E-1
2016/05/30  15:59:01.432497	4.934476E-1	2016/05/30  15:59:01.432498	-5.218139E-1
2016/05/30  15:59:01.432499	4.920627E-1	2016/05/30  15:59:01.432500	-5.213952E-1
2016/05/30  15:59:01.432501	4.947359E-1	2016/05/30  15:59:01.432502	-5.210088E-1
2016/05/30  15:59:01.432503	4.964429E-1	2016/05/30  15:59:01.432504	-5.206223E-1
2016/05/30  15:59:01.432505	4.957987E-1	2016/05/30  15:59:01.432506	-5.205579E-1
2016/05/30  15:59:01.432507	4.946070E-1	2016/05/30  15:59:01.432508	-5.198171E-1
2016/05/30  15:59:01.432509	4.959275E-1	2016/05/30  15:59:01.432510	-5.194628E-1
2016/05/30  15:59:01.432511	4.946392E-1	2016/05/30  15:59:01.432512	-5.191085E-1
2016/05/30  15:59:01.432513	4.936086E-1	2016/05/30  15:59:01.432514	-5.187542E-1
2016/05/30  15:59:01.432515	4.970870E-1	2016/05/30  15:59:01.432516	-5.182389E-1
2016/05/30  15:59:01.432517	4.939951E-1	2016/05/30  15:59:01.432518	-5.179490E-1
2016/05/30  15:59:01.432519	4.930611E-1	2016/05/30  15:59:01.432520	-5.176592E-1
2016/05/30  15:59:01.432521	4.939951E-1	2016/05/30  15:59:01.432522	-5.172405E-1
2016/05/30  15:59:01.432523	4.941561E-1	2016/05/30  15:59:01.432524	-5.166607E-1
2016/05/30  15:59:01.432525	4.967327E-1	2016/05/30  15:59:01.432526	-5.161454E-1
2016/05/30  15:59:01.432527	4.955088E-1	2016/05/30  15:59:01.432528	-5.157911E-1
2016/05/30  15:59:01.432529	4.957665E-1	2016/05/30  15:59:01.432530	-5.153402E-1
2016/05/30  15:59:01.432531	4.931899E-1	2016/05/30  15:59:01.432532	-5.149537E-1
2016/05/30  15:59:01.432533	4.934154E-1	2016/05/30  15:59:01.432534	-5.142452E-1
2016/05/30  15:59:01.432535	4.967005E-1	2016/05/30  15:59:01.432536	-5.140197E-1
2016/05/30  15:59:01.432537	4.952190E-1	2016/05/30  15:59:01.432538	-5.134078E-1
2016/05/30  15:59:01.432539	4.967649E-1	2016/05/30  15:59:01.432540	-5.131501E-1
2016/05/30  15:59:01.432541	4.946715E-1	2016/05/30  15:59:01.432542	-5.126348E-1
2016/05/30  15:59:01.432543	4.957021E-1	2016/05/30  15:59:01.432544	-5.120228E-1
2016/05/30  15:59:01.432545	4.952834E-1	2016/05/30  15:59:01.432546	-5.116686E-1
2016/05/30  15:59:01.432547	4.964106E-1	2016/05/30  15:59:01.432548	-5.111855E-1
2016/05/30  15:59:01.432549	4.953800E-1	2016/05/30  15:59:01.432550	-5.107990E-1
2016/05/30  15:59:01.432551	4.943494E-1	2016/05/30  15:59:01.432552	-5.103803E-1
2016/05/30  15:59:01.432553	4.951224E-1	2016/05/30  15:59:01.432554	-5.098649E-1
2016/05/30  15:59:01.432555	4.956377E-1	2016/05/30  15:59:01.432556	-5.094462E-1
2016/05/30  15:59:01.432557	4.955733E-1	2016/05/30  15:59:01.432558	-5.092852E-1
2016/05/30  15:59:01.432559	4.948647E-1	2016/05/30  15:59:01.432560	-5.088343E-1
2016/05/30  15:59:01.432561	4.933510E-1	2016/05/30  15:59:01.432562	-5.084156E-1
2016/05/30  15:59:01.432563	4.951224E-1	2016/05/30  15:59:01.432564	-5.079325E-1
2016/05/30  15:59:01.432565	4.953800E-1	2016/05/30  15:59:01.432566	-5.074494E-1
2016/05/30  15:59:01.432567	4.978600E-1	2016/05/30  15:59:01.432568	-5.071595E-1
2016/05/30  15:59:01.432569	4.956377E-1	2016/05/30  15:59:01.432570	-5.066442E-1
2016/05/30  15:59:01.432571	4.970870E-1	2016/05/30  15:59:01.432572	-5.060645E-1
2016/05/30  15:59:01.432573	4.961208E-1	2016/05/30  15:59:01.432574	-5.058068E-1
2016/05/30  15:59:01.432575	4.963140E-1	2016/05/30  15:59:01.432576	-5.053559E-1
2016/05/30  15:59:01.432577	4.963784E-1	2016/05/30  15:59:01.432578	-5.048406E-1
2016/05/30  15:59:01.432579	4.977956E-1	2016/05/30  15:59:01.432580	-5.043575E-1
2016/05/30  15:59:01.432581	4.941239E-1	2016/05/30  15:59:01.432582	-5.040354E-1
2016/05/30  15:59:01.432583	4.961852E-1	2016/05/30  15:59:01.432584	-5.035201E-1
2016/05/30  15:59:01.432585	4.938019E-1	2016/05/30  15:59:01.432586	-5.029403E-1
2016/05/30  15:59:01.432587	4.959597E-1	2016/05/30  15:59:01.432588	-5.025538E-1
2016/05/30  15:59:01.432589	4.963140E-1	2016/05/30  15:59:01.432590	-5.021351E-1
2016/05/30  15:59:01.432591	4.938341E-1	2016/05/30  15:59:01.432592	-5.016198E-1
2016/05/30  15:59:01.432593	4.959597E-1	2016/05/30  15:59:01.432594	-5.012011E-1
2016/05/30  15:59:01.432595	4.977311E-1	2016/05/30  15:59:01.432596	-5.006214E-1
2016/05/30  15:59:01.432597	4.941239E-1	2016/05/30  15:59:01.432598	-5.003637E-1
2016/05/30  15:59:01.432599	4.958309E-1	2016/05/30  15:59:01.432600	-4.998162E-1
2016/05/30  15:59:01.432601	4.967971E-1	2016/05/30  15:59:01.432602	-4.995263E-1
2016/05/30  15:59:01.432603	4.972802E-1	2016/05/30  15:59:01.432604	-4.990754E-1
2016/05/30  15:59:01.432605	4.958631E-1	2016/05/30  15:59:01.432606	-4.986567E-1
2016/05/30  15:59:01.432607	4.950579E-1	2016/05/30  15:59:01.432608	-4.981736E-1
2016/05/30  15:59:01.432609	4.974735E-1	2016/05/30  15:59:01.432610	-4.975939E-1
2016/05/30  15:59:01.432611	4.988906E-1	2016/05/30  15:59:01.432612	-4.971430E-1
2016/05/30  15:59:01.432613	4.987940E-1	2016/05/30  15:59:01.432614	-4.967887E-1
2016/05/30  15:59:01.432615	4.952834E-1	2016/05/30  15:59:01.432616	-4.964344E-1
2016/05/30  15:59:01.432617	4.951224E-1	2016/05/30  15:59:01.432618	-4.960157E-1
2016/05/30  15:59:01.432619	4.938341E-1	2016/05/30  15:59:01.432620	-4.954682E-1
2016/05/30  15:59:01.432621	4.956055E-1	2016/05/30  15:59:01.432622	-4.950173E-1
2016/05/30  15:59:01.432623	4.948325E-1	2016/05/30  15:59:01.432624	-4.947274E-1
2016/05/30  15:59:01.432625	4.960564E-1	2016/05/30  15:59:01.432626	-4.941477E-1
2016/05/30  15:59:01.432627	4.943816E-1	2016/05/30  15:59:01.432628	-4.936324E-1
2016/05/30  15:59:01.432629	4.929001E-1	2016/05/30  15:59:01.432630	-4.932137E-1
2016/05/30  15:59:01.432631	4.968616E-1	2016/05/30  15:59:01.432632	-4.926339E-1
2016/05/30  15:59:01.432633	4.954766E-1	2016/05/30  15:59:01.432634	-4.922474E-1
2016/05/30  15:59:01.432635	4.969260E-1	2016/05/30  15:59:01.432636	-4.917643E-1
2016/05/30  15:59:01.432637	4.971514E-1	2016/05/30  15:59:01.432638	-4.914744E-1
2016/05/30  15:59:01.432639	4.938341E-1	2016/05/30  15:59:01.432640	-4.909269E-1
2016/05/30  15:59:01.432641	4.959275E-1	2016/05/30  15:59:01.432642	-4.906693E-1
2016/05/30  15:59:01.432643	4.941561E-1	2016/05/30  15:59:01.432644	-4.902506E-1
2016/05/30  15:59:01.432645	4.954766E-1	2016/05/30  15:59:01.432646	-4.897675E-1
2016/05/30  15:59:01.432647	4.971514E-1	2016/05/30  15:59:01.432648	-4.895098E-1
2016/05/30  15:59:01.432649	4.957987E-1	2016/05/30  15:59:01.432650	-4.888334E-1
2016/05/30  15:59:01.432651	4.959920E-1	2016/05/30  15:59:01.432652	-4.881571E-1
2016/05/30  15:59:01.432653	4.973769E-1	2016/05/30  15:59:01.432654	-4.880282E-1
2016/05/30  15:59:01.432655	4.981176E-1	2016/05/30  15:59:01.432656	-4.875129E-1
2016/05/30  15:59:01.432657	4.975057E-1	2016/05/30  15:59:01.432658	-4.870620E-1
2016/05/30  15:59:01.432659	4.973769E-1	2016/05/30  15:59:01.432660	-4.867399E-1
2016/05/30  15:59:01.432661	4.980532E-1	2016/05/30  15:59:01.432662	-4.863857E-1
2016/05/30  15:59:01.432663	4.951868E-1	2016/05/30  15:59:01.432664	-4.858381E-1
2016/05/30  15:59:01.432665	4.959920E-1	2016/05/30  15:59:01.432666	-4.853550E-1
2016/05/30  15:59:01.432667	4.930289E-1	2016/05/30  15:59:01.432668	-4.849363E-1
2016/05/30  15:59:01.432669	4.973125E-1	2016/05/30  15:59:01.432670	-4.845498E-1
2016/05/30  15:59:01.432671	4.967327E-1	2016/05/30  15:59:01.432672	-4.840989E-1
2016/05/30  15:59:01.432673	4.928356E-1	2016/05/30  15:59:01.432674	-4.836158E-1
2016/05/30  15:59:01.432675	4.939629E-1	2016/05/30  15:59:01.432676	-4.830683E-1
2016/05/30  15:59:01.432677	4.969582E-1	2016/05/30  15:59:01.432678	-4.827784E-1
2016/05/30  15:59:01.432679	4.956055E-1	2016/05/30  15:59:01.432680	-4.823919E-1
