waveform	[0]		[1]	
t0	2016/05/30  15:56:24.692387		2016/05/30  15:56:24.692397	
delta t	2.000000E-5		2.000000E-5	

time[0]	Y[0]	time[1]	Y[1]
2016/05/30  15:56:24.692387	4.030486E-1	2016/05/30  15:56:24.692397	-3.891109E-1
2016/05/30  15:56:24.692407	4.845352E-1	2016/05/30  15:56:24.692417	-7.598274E-1
2016/05/30  15:56:24.692427	4.903327E-1	2016/05/30  15:56:24.692437	-8.891435E-1
2016/05/30  15:56:24.692447	4.919431E-1	2016/05/30  15:56:24.692457	-9.316584E-1
2016/05/30  15:56:24.692467	4.927483E-1	2016/05/30  15:56:24.692477	-9.418040E-1
2016/05/30  15:56:24.692487	4.901717E-1	2016/05/30  15:56:24.692497	-9.413209E-1
2016/05/30  15:56:24.692507	4.925873E-1	2016/05/30  15:56:24.692517	-9.353624E-1
2016/05/30  15:56:24.692527	4.941977E-1	2016/05/30  15:56:24.692537	-9.284376E-1
2016/05/30  15:56:24.692547	4.929094E-1	2016/05/30  15:56:24.692557	-9.207076E-1
2016/05/30  15:56:24.692567	4.940366E-1	2016/05/30  15:56:24.692577	-9.129776E-1
2016/05/30  15:56:24.692587	4.917821E-1	2016/05/30  15:56:24.692597	-9.050866E-1
2016/05/30  15:56:24.692607	4.951639E-1	2016/05/30  15:56:24.692617	-8.971956E-1
2016/05/30  15:56:24.692627	4.916210E-1	2016/05/30  15:56:24.692637	-8.893045E-1
2016/05/30  15:56:24.692647	4.951639E-1	2016/05/30  15:56:24.692657	-8.810914E-1
2016/05/30  15:56:24.692667	4.927483E-1	2016/05/30  15:56:24.692677	-8.735225E-1
2016/05/30  15:56:24.692687	4.945198E-1	2016/05/30  15:56:24.692697	-8.661146E-1
2016/05/30  15:56:24.692707	4.943587E-1	2016/05/30  15:56:24.692717	-8.585456E-1
2016/05/30  15:56:24.692727	4.948418E-1	2016/05/30  15:56:24.692737	-8.512988E-1
2016/05/30  15:56:24.692747	4.909769E-1	2016/05/30  15:56:24.692757	-8.437298E-1
2016/05/30  15:56:24.692767	4.943587E-1	2016/05/30  15:56:24.692777	-8.363219E-1
2016/05/30  15:56:24.692787	4.917821E-1	2016/05/30  15:56:24.692797	-8.289140E-1
2016/05/30  15:56:24.692807	4.950029E-1	2016/05/30  15:56:24.692817	-8.216672E-1
2016/05/30  15:56:24.692827	4.937146E-1	2016/05/30  15:56:24.692837	-8.142593E-1
2016/05/30  15:56:24.692847	4.962912E-1	2016/05/30  15:56:24.692857	-8.073345E-1
2016/05/30  15:56:24.692867	4.945198E-1	2016/05/30  15:56:24.692877	-7.999266E-1
2016/05/30  15:56:24.692887	4.956470E-1	2016/05/30  15:56:24.692897	-7.928408E-1
2016/05/30  15:56:24.692907	4.940366E-1	2016/05/30  15:56:24.692917	-7.857550E-1
2016/05/30  15:56:24.692927	4.946808E-1	2016/05/30  15:56:24.692937	-7.789913E-1
2016/05/30  15:56:24.692947	4.938756E-1	2016/05/30  15:56:24.692957	-7.720665E-1
2016/05/30  15:56:24.692967	4.948418E-1	2016/05/30  15:56:24.692977	-7.653028E-1
2016/05/30  15:56:24.692987	4.935535E-1	2016/05/30  15:56:24.692997	-7.583780E-1
2016/05/30  15:56:24.693007	4.959691E-1	2016/05/30  15:56:24.693017	-7.516143E-1
2016/05/30  15:56:24.693027	4.932314E-1	2016/05/30  15:56:24.693037	-7.450116E-1
2016/05/30  15:56:24.693047	4.962912E-1	2016/05/30  15:56:24.693057	-7.388920E-1
2016/05/30  15:56:24.693067	4.962912E-1	2016/05/30  15:56:24.693077	-7.321283E-1
2016/05/30  15:56:24.693087	4.937146E-1	2016/05/30  15:56:24.693097	-7.258477E-1
2016/05/30  15:56:24.693107	4.951639E-1	2016/05/30  15:56:24.693117	-7.194060E-1
2016/05/30  15:56:24.693127	4.954860E-1	2016/05/30  15:56:24.693137	-7.129644E-1
2016/05/30  15:56:24.693147	4.962912E-1	2016/05/30  15:56:24.693157	-7.068448E-1
2016/05/30  15:56:24.693167	4.962912E-1	2016/05/30  15:56:24.693177	-7.002421E-1
2016/05/30  15:56:24.693187	4.975795E-1	2016/05/30  15:56:24.693197	-6.939615E-1
2016/05/30  15:56:24.693207	4.979016E-1	2016/05/30  15:56:24.693217	-6.880030E-1
2016/05/30  15:56:24.693227	4.948418E-1	2016/05/30  15:56:24.693237	-6.823666E-1
2016/05/30  15:56:24.693247	4.951639E-1	2016/05/30  15:56:24.693257	-6.762470E-1
2016/05/30  15:56:24.693267	4.956470E-1	2016/05/30  15:56:24.693277	-6.702885E-1
2016/05/30  15:56:24.693287	4.948418E-1	2016/05/30  15:56:24.693297	-6.646520E-1
2016/05/30  15:56:24.693307	4.945198E-1	2016/05/30  15:56:24.693317	-6.582104E-1
2016/05/30  15:56:24.693327	4.943587E-1	2016/05/30  15:56:24.693337	-6.524129E-1
2016/05/30  15:56:24.693347	4.941977E-1	2016/05/30  15:56:24.693357	-6.469375E-1
2016/05/30  15:56:24.693367	4.940366E-1	2016/05/30  15:56:24.693377	-6.414621E-1
2016/05/30  15:56:24.693387	4.951639E-1	2016/05/30  15:56:24.693397	-6.359867E-1
2016/05/30  15:56:24.693407	4.991899E-1	2016/05/30  15:56:24.693417	-6.297061E-1
2016/05/30  15:56:24.693427	4.933925E-1	2016/05/30  15:56:24.693437	-6.243918E-1
2016/05/30  15:56:24.693447	4.964523E-1	2016/05/30  15:56:24.693457	-6.189164E-1
2016/05/30  15:56:24.693467	4.956470E-1	2016/05/30  15:56:24.693477	-6.137631E-1
2016/05/30  15:56:24.693487	4.972575E-1	2016/05/30  15:56:24.693497	-6.084487E-1
2016/05/30  15:56:24.693507	4.954860E-1	2016/05/30  15:56:24.693517	-6.032954E-1
2016/05/30  15:56:24.693527	4.969354E-1	2016/05/30  15:56:24.693537	-5.976590E-1
