waveform	[0]		[1]	
t0	2016/06/02  15:07:44.917448		2016/06/02  15:07:44.917450	
delta t	4.000000E-6		4.000000E-6	

time[0]	Y[0]	time[1]	Y[1]
2016/06/02  15:07:44.917448	3.895150E-1	2016/06/02  15:07:44.917450	8.486027E-1
2016/06/02  15:07:44.917452	4.418838E-1	2016/06/02  15:07:44.917454	7.105265E-1
2016/06/02  15:07:44.917456	4.449435E-1	2016/06/02  15:07:44.917458	5.901342E-1
2016/06/02  15:07:44.917460	4.540903E-1	2016/06/02  15:07:44.917462	4.774406E-1
2016/06/02  15:07:44.917464	4.509662E-1	2016/06/02  15:07:44.917466	3.763423E-1
2016/06/02  15:07:44.917468	4.561516E-1	2016/06/02  15:07:44.917470	2.867103E-1
2016/06/02  15:07:44.917472	4.618201E-1	2016/06/02  15:07:44.917474	2.036809E-1
2016/06/02  15:07:44.917476	4.625608E-1	2016/06/02  15:07:44.917478	1.270609E-1
2016/06/02  15:07:44.917480	4.686158E-1	2016/06/02  15:07:44.917482	6.515942E-2
2016/06/02  15:07:44.917484	4.699041E-1	2016/06/02  15:07:44.917486	8.153400E-3
2016/06/02  15:07:44.917488	4.717077E-1	2016/06/02  15:07:44.917490	-4.157390E-2
2016/06/02  15:07:44.917492	4.730604E-1	2016/06/02  15:07:44.917494	-8.808055E-2
2016/06/02  15:07:44.917496	4.774728E-1	2016/06/02  15:07:44.917498	-1.215435E-1
2016/06/02  15:07:44.917500	4.775694E-1	2016/06/02  15:07:44.917502	-1.540080E-1
2016/06/02  15:07:44.917504	4.795985E-1	2016/06/02  15:07:44.917506	-1.816093E-1
2016/06/02  15:07:44.917508	4.830124E-1	2016/06/02  15:07:44.917510	-2.023828E-1
2016/06/02  15:07:44.917512	4.841719E-1	2016/06/02  15:07:44.917514	-2.186473E-1
2016/06/02  15:07:44.917516	4.846550E-1	2016/06/02  15:07:44.917518	-2.293078E-1
2016/06/02  15:07:44.917520	4.847838E-1	2016/06/02  15:07:44.917522	-2.357814E-1
2016/06/02  15:07:44.917524	4.864908E-1	2016/06/02  15:07:44.917526	-2.432212E-1
2016/06/02  15:07:44.917528	4.889708E-1	2016/06/02  15:07:44.917530	-2.475691E-1
2016/06/02  15:07:44.917532	4.907422E-1	2016/06/02  15:07:44.917534	-2.448316E-1
2016/06/02  15:07:44.917536	4.901624E-1	2016/06/02  15:07:44.917538	-2.441552E-1
2016/06/02  15:07:44.917540	4.923847E-1	2016/06/02  15:07:44.917542	-2.382291E-1
2016/06/02  15:07:44.917544	4.941883E-1	2016/06/02  15:07:44.917546	-2.323030E-1
2016/06/02  15:07:44.917548	4.941239E-1	2016/06/02  15:07:44.917550	-2.261837E-1
2016/06/02  15:07:44.917552	4.955088E-1	2016/06/02  15:07:44.917554	-2.157164E-1
2016/06/02  15:07:44.917556	4.970870E-1	2016/06/02  15:07:44.917558	-2.054746E-1
2016/06/02  15:07:44.917560	4.952834E-1	2016/06/02  15:07:44.917562	-1.920121E-1
2016/06/02  15:07:44.917564	4.985041E-1	2016/06/02  15:07:44.917566	-1.815771E-1
2016/06/02  15:07:44.917568	4.982787E-1	2016/06/02  15:07:44.917570	-1.680824E-1
2016/06/02  15:07:44.917572	4.995992E-1	2016/06/02  15:07:44.917574	-1.564557E-1
2016/06/02  15:07:44.917576	4.996636E-1	2016/06/02  15:07:44.917578	-1.471801E-1
2016/06/02  15:07:44.917580	4.998890E-1	2016/06/02  15:07:44.917582	-1.295308E-1
2016/06/02  15:07:44.917584	4.991483E-1	2016/06/02  15:07:44.917586	-1.178719E-1
2016/06/02  15:07:44.917588	5.014028E-1	2016/06/02  15:07:44.917590	-1.058909E-1
2016/06/02  15:07:44.917592	5.001789E-1	2016/06/02  15:07:44.917594	-9.378116E-2
2016/06/02  15:07:44.917596	5.011129E-1	2016/06/02  15:07:44.917598	-8.189683E-2
2016/06/02  15:07:44.917600	4.998568E-1	2016/06/02  15:07:44.917602	-6.750038E-2
2016/06/02  15:07:44.917604	5.011773E-1	2016/06/02  15:07:44.917606	-5.561607E-2
2016/06/02  15:07:44.917608	5.007586E-1	2016/06/02  15:07:44.917610	-4.550313E-2
2016/06/02  15:07:44.917612	4.986330E-1	2016/06/02  15:07:44.917614	-3.291027E-2
2016/06/02  15:07:44.917616	5.004366E-1	2016/06/02  15:07:44.917618	-2.556712E-2
2016/06/02  15:07:44.917620	5.027555E-1	2016/06/02  15:07:44.917622	-1.635597E-2
2016/06/02  15:07:44.917624	5.014994E-1	2016/06/02  15:07:44.917626	-7.660136E-3
