waveform	[0]		[1]	
t0	2016/06/02  14:15:57.000686		2016/06/02  14:15:57.000690	
delta t	8.000000E-6		8.000000E-6	

time[0]	Y[0]	time[1]	Y[1]
2016/06/02  14:15:57.000686	4.534140E-1	2016/06/02  14:15:57.000690	-3.824525E-1
2016/06/02  14:15:57.000694	5.078764E-1	2016/06/02  14:15:57.000698	-3.842883E-1
2016/06/02  14:15:57.000702	5.044625E-1	2016/06/02  14:15:57.000706	-3.842883E-1
2016/06/02  14:15:57.000710	5.013062E-1	2016/06/02  14:15:57.000714	-3.817440E-1
2016/06/02  14:15:57.000718	5.015960E-1	2016/06/02  14:15:57.000722	-3.765908E-1
2016/06/02  14:15:57.000726	4.973447E-1	2016/06/02  14:15:57.000730	-3.683780E-1
2016/06/02  14:15:57.000734	4.938341E-1	2016/06/02  14:15:57.000738	-3.574597E-1
2016/06/02  14:15:57.000742	4.883910E-1	2016/06/02  14:15:57.000746	-3.433852E-1
2016/06/02  14:15:57.000750	4.884232E-1	2016/06/02  14:15:57.000754	-3.265087E-1
2016/06/02  14:15:57.000758	4.883266E-1	2016/06/02  14:15:57.000762	-3.071200E-1
2016/06/02  14:15:57.000766	4.859433E-1	2016/06/02  14:15:57.000770	-2.850903E-1
2016/06/02  14:15:57.000774	4.825293E-1	2016/06/02  14:15:57.000778	-2.609351E-1
2016/06/02  14:15:57.000782	4.831090E-1	2016/06/02  14:15:57.000786	-2.348474E-1
2016/06/02  14:15:57.000790	4.793408E-1	2016/06/02  14:15:57.000794	-2.070528E-1
2016/06/02  14:15:57.000798	4.763777E-1	2016/06/02  14:15:57.000802	-1.779699E-1
2016/06/02  14:15:57.000806	4.779559E-1	2016/06/02  14:15:57.000810	-1.477921E-1
2016/06/02  14:15:57.000814	4.760879E-1	2016/06/02  14:15:57.000818	-1.167124E-1
2016/06/02  14:15:57.000822	4.759590E-1	2016/06/02  14:15:57.000826	-8.502090E-2
2016/06/02  14:15:57.000830	4.738978E-1	2016/06/02  14:15:57.000834	-5.310394E-2
2016/06/02  14:15:57.000838	4.696464E-1	2016/06/02  14:15:57.000842	-2.115478E-2
2016/06/02  14:15:57.000846	4.707737E-1	2016/06/02  14:15:57.000850	1.069774E-2
2016/06/02  14:15:57.000854	4.728993E-1	2016/06/02  14:15:57.000858	4.200274E-2
2016/06/02  14:15:57.000862	4.728027E-1	2016/06/02  14:15:57.000866	7.298567E-2
2016/06/02  14:15:57.000870	4.688090E-1	2016/06/02  14:15:57.000874	1.031956E-1
2016/06/02  14:15:57.000878	4.685836E-1	2016/06/02  14:15:57.000882	1.324716E-1
2016/06/02  14:15:57.000886	4.710313E-1	2016/06/02  14:15:57.000890	1.609102E-1
2016/06/02  14:15:57.000894	4.694854E-1	2016/06/02  14:15:57.000898	1.881250E-1
2016/06/02  14:15:57.000902	4.724484E-1	2016/06/02  14:15:57.000906	2.141804E-1
2016/06/02  14:15:57.000910	4.702261E-1	2016/06/02  14:15:57.000914	2.389474E-1
2016/06/02  14:15:57.000918	4.662969E-1	2016/06/02  14:15:57.000922	2.624263E-1
2016/06/02  14:15:57.000926	4.669732E-1	2016/06/02  14:15:57.000930	2.843914E-1
2016/06/02  14:15:57.000934	4.690667E-1	2016/06/02  14:15:57.000938	3.049394E-1
2016/06/02  14:15:57.000942	4.725129E-1	2016/06/02  14:15:57.000946	3.241348E-1
2016/06/02  14:15:57.000950	4.689057E-1	2016/06/02  14:15:57.000954	3.418486E-1
2016/06/02  14:15:57.000958	4.704194E-1	2016/06/02  14:15:57.000962	3.581131E-1
2016/06/02  14:15:57.000966	4.743165E-1	2016/06/02  14:15:57.000970	3.728962E-1
2016/06/02  14:15:57.000974	4.735435E-1	2016/06/02  14:15:57.000978	3.862943E-1
2016/06/02  14:15:57.000982	4.728671E-1	2016/06/02  14:15:57.000986	3.982109E-1
2016/06/02  14:15:57.000990	4.743487E-1	2016/06/02  14:15:57.000994	4.091291E-1
2016/06/02  14:15:57.000998	4.732214E-1	2016/06/02  14:15:57.001002	4.183082E-1
2016/06/02  14:15:57.001006	4.733825E-1	2016/06/02  14:15:57.001010	4.264888E-1
2016/06/02  14:15:57.001014	4.745741E-1	2016/06/02  14:15:57.001018	4.333811E-1
2016/06/02  14:15:57.001022	4.768286E-1	2016/06/02  14:15:57.001026	4.388241E-1
2016/06/02  14:15:57.001030	4.728993E-1	2016/06/02  14:15:57.001034	4.434620E-1
2016/06/02  14:15:57.001038	4.749284E-1	2016/06/02  14:15:57.001042	4.470370E-1
2016/06/02  14:15:57.001046	4.733180E-1	2016/06/02  14:15:57.001050	4.496779E-1
