waveform	[0]		[1]	
t0	2016/06/02  14:55:46.050332		2016/06/02  14:55:46.050336	
delta t	8.000000E-6		8.000000E-6	

time[0]	Y[0]	time[1]	Y[1]
2016/06/02  14:55:46.050332	4.649120E-1	2016/06/02  14:55:46.050336	-3.683136E-1
2016/06/02  14:55:46.050340	5.161215E-1	2016/06/02  14:55:46.050344	-3.659624E-1
2016/06/02  14:55:46.050348	5.122888E-1	2016/06/02  14:55:46.050352	-3.626451E-1
2016/06/02  14:55:46.050356	5.061050E-1	2016/06/02  14:55:46.050360	-3.574275E-1
2016/06/02  14:55:46.050364	4.978278E-1	2016/06/02  14:55:46.050368	-3.498910E-1
2016/06/02  14:55:46.050372	4.926102E-1	2016/06/02  14:55:46.050376	-3.394237E-1
2016/06/02  14:55:46.050380	4.884877E-1	2016/06/02  14:55:46.050384	-3.260578E-1
2016/06/02  14:55:46.050388	4.843329E-1	2016/06/02  14:55:46.050392	-3.094389E-1
2016/06/02  14:55:46.050396	4.815309E-1	2016/06/02  14:55:46.050400	-2.894383E-1
2016/06/02  14:55:46.050404	4.756048E-1	2016/06/02  14:55:46.050408	-2.662170E-1
2016/06/02  14:55:46.050412	4.712890E-1	2016/06/02  14:55:46.050416	-2.400649E-1
2016/06/02  14:55:46.050420	4.684547E-1	2016/06/02  14:55:46.050424	-2.111109E-1
2016/06/02  14:55:46.050428	4.652662E-1	2016/06/02  14:55:46.050432	-1.796447E-1
2016/06/02  14:55:46.050436	4.628507E-1	2016/06/02  14:55:46.050440	-1.460851E-1
2016/06/02  14:55:46.050444	4.607894E-1	2016/06/02  14:55:46.050448	-1.105931E-1
2016/06/02  14:55:46.050452	4.600809E-1	2016/06/02  14:55:46.050456	-7.384513E-2
2016/06/02  14:55:46.050460	4.602741E-1	2016/06/02  14:55:46.050464	-3.622757E-2
2016/06/02  14:55:46.050468	4.578264E-1	2016/06/02  14:55:46.050472	2.066316E-3
2016/06/02  14:55:46.050476	4.584061E-1	2016/06/02  14:55:46.050480	4.026357E-2
2016/06/02  14:55:46.050484	4.614014E-1	2016/06/02  14:55:46.050488	7.836420E-2
