waveform	[0]		[1]	
t0	2016/06/06  14:26:36.294907		2016/06/06  14:26:36.294918	
delta t	8.000000E-5		8.000000E-5	

time[0]	Y[0]	time[1]	Y[1]
2016/06/06  14:26:36.294907	3.763159E-1	2016/06/06  14:26:36.294918	9.816683E-1
2016/06/06  14:26:36.294987	4.917821E-1	2016/06/06  14:26:36.294998	9.209559E-1
2016/06/06  14:26:36.295067	4.919431E-1	2016/06/06  14:26:36.295078	8.558954E-1
2016/06/06  14:26:36.295147	4.912989E-1	2016/06/06  14:26:36.295158	7.953440E-1
2016/06/06  14:26:36.295227	4.970964E-1	2016/06/06  14:26:36.295238	7.323770E-1
2016/06/06  14:26:36.295307	4.930704E-1	2016/06/06  14:26:36.295318	6.781062E-1
2016/06/06  14:26:36.295387	4.940366E-1	2016/06/06  14:26:36.295398	6.206147E-1
2016/06/06  14:26:36.295467	4.950029E-1	2016/06/06  14:26:36.295478	5.697258E-1
2016/06/06  14:26:36.295547	4.941977E-1	2016/06/06  14:26:36.295558	5.183538E-1
2016/06/06  14:26:36.295627	4.954860E-1	2016/06/06  14:26:36.295638	4.705247E-1
2016/06/06  14:26:36.295707	4.946808E-1	2016/06/06  14:26:36.295718	4.259164E-1
2016/06/06  14:26:36.295787	4.959691E-1	2016/06/06  14:26:36.295798	3.819523E-1
2016/06/06  14:26:36.295867	4.972575E-1	2016/06/06  14:26:36.295878	3.387934E-1
2016/06/06  14:26:36.295947	4.959691E-1	2016/06/06  14:26:36.295958	2.972449E-1
2016/06/06  14:26:36.296027	4.959691E-1	2016/06/06  14:26:36.296038	2.611717E-1
2016/06/06  14:26:36.296107	4.951639E-1	2016/06/06  14:26:36.296118	2.244545E-1
2016/06/06  14:26:36.296187	4.954860E-1	2016/06/06  14:26:36.296198	1.904749E-1
2016/06/06  14:26:36.296267	4.938756E-1	2016/06/06  14:26:36.296278	1.552070E-1
2016/06/06  14:26:36.296347	4.956470E-1	2016/06/06  14:26:36.296358	1.294404E-1
2016/06/06  14:26:36.296427	4.956470E-1	2016/06/06  14:26:36.296438	9.787646E-2
2016/06/06  14:26:36.296507	4.943587E-1	2016/06/06  14:26:36.296518	7.162682E-2
2016/06/06  14:26:36.296587	4.983847E-1	2016/06/06  14:26:36.296598	4.730967E-2
2016/06/06  14:26:36.296667	4.964523E-1	2016/06/06  14:26:36.296678	2.234836E-2
2016/06/06  14:26:36.296747	4.951639E-1	2016/06/06  14:26:36.296758	-1.968792E-3
2016/06/06  14:26:36.296827	4.954860E-1	2016/06/06  14:26:36.296838	-2.064952E-2
2016/06/06  14:26:36.296907	4.967743E-1	2016/06/06  14:26:36.296918	-3.981337E-2
2016/06/06  14:26:36.296987	4.962912E-1	2016/06/06  14:26:36.296998	-5.913826E-2
2016/06/06  14:26:36.297067	4.975795E-1	2016/06/06  14:26:36.297078	-7.363193E-2
2016/06/06  14:26:36.297147	4.979016E-1	2016/06/06  14:26:36.297158	-9.005808E-2
