waveform	[0]		[1]	
t0	2016/06/06  14:03:16.498832		2016/06/06  14:03:16.498834	
delta t	4.000000E-6		4.000000E-6	

time[0]	Y[0]	time[1]	Y[1]
2016/06/06  14:03:16.498832	4.088071E-1	2016/06/06  14:03:16.498834	-5.064509E-1
2016/06/06  14:03:16.498836	4.794052E-1	2016/06/06  14:03:16.498838	-5.058390E-1
2016/06/06  14:03:16.498840	4.764744E-1	2016/06/06  14:03:16.498842	-5.049372E-1
2016/06/06  14:03:16.498844	4.820784E-1	2016/06/06  14:03:16.498846	-5.034879E-1
2016/06/06  14:03:16.498848	4.794374E-1	2016/06/06  14:03:16.498850	-5.013944E-1
2016/06/06  14:03:16.498852	4.829802E-1	2016/06/06  14:03:16.498854	-4.991720E-1
2016/06/06  14:03:16.498856	4.824327E-1	2016/06/06  14:03:16.498858	-4.963700E-1
2016/06/06  14:03:16.498860	4.851059E-1	2016/06/06  14:03:16.498862	-4.930526E-1
2016/06/06  14:03:16.498864	4.845906E-1	2016/06/06  14:03:16.498866	-4.894132E-1
2016/06/06  14:03:16.498868	4.879079E-1	2016/06/06  14:03:16.498870	-4.852906E-1
2016/06/06  14:03:16.498872	4.839464E-1	2016/06/06  14:03:16.498874	-4.810070E-1
2016/06/06  14:03:16.498876	4.848804E-1	2016/06/06  14:03:16.498878	-4.761115E-1
2016/06/06  14:03:16.498880	4.863298E-1	2016/06/06  14:03:16.498882	-4.710549E-1
2016/06/06  14:03:16.498884	4.873604E-1	2016/06/06  14:03:16.498886	-4.656763E-1
2016/06/06  14:03:16.498888	4.866196E-1	2016/06/06  14:03:16.498890	-4.600722E-1
2016/06/06  14:03:16.498892	4.881012E-1	2016/06/06  14:03:16.498894	-4.540494E-1
2016/06/06  14:03:16.498896	4.873604E-1	2016/06/06  14:03:16.498898	-4.476723E-1
2016/06/06  14:03:16.498900	4.894217E-1	2016/06/06  14:03:16.498902	-4.413919E-1
2016/06/06  14:03:16.498904	4.904523E-1	2016/06/06  14:03:16.498906	-4.343063E-1
2016/06/06  14:03:16.498908	4.868773E-1	2016/06/06  14:03:16.498910	-4.271884E-1
2016/06/06  14:03:16.498912	4.858467E-1	2016/06/06  14:03:16.498914	-4.200062E-1
2016/06/06  14:03:16.498916	4.909032E-1	2016/06/06  14:03:16.498918	-4.122765E-1
2016/06/06  14:03:16.498920	4.906133E-1	2016/06/06  14:03:16.498922	-4.046433E-1
2016/06/06  14:03:16.498924	4.876181E-1	2016/06/06  14:03:16.498926	-3.964627E-1
2016/06/06  14:03:16.498928	4.894861E-1	2016/06/06  14:03:16.498930	-3.883787E-1
2016/06/06  14:03:16.498932	4.911609E-1	2016/06/06  14:03:16.498934	-3.797793E-1
2016/06/06  14:03:16.498936	4.899370E-1	2016/06/06  14:03:16.498938	-3.715021E-1
2016/06/06  14:03:16.498940	4.906778E-1	2016/06/06  14:03:16.498942	-3.628061E-1
2016/06/06  14:03:16.498944	4.914185E-1	2016/06/06  14:03:16.498946	-3.540780E-1
2016/06/06  14:03:16.498948	4.901302E-1	2016/06/06  14:03:16.498950	-3.447379E-1
2016/06/06  14:03:16.498952	4.944460E-1	2016/06/06  14:03:16.498954	-3.357199E-1
2016/06/06  14:03:16.498956	4.896149E-1	2016/06/06  14:03:16.498958	-3.263798E-1
2016/06/06  14:03:16.498960	4.928034E-1	2016/06/06  14:03:16.498962	-3.170076E-1
2016/06/06  14:03:16.498964	4.929001E-1	2016/06/06  14:03:16.498966	-3.073776E-1
2016/06/06  14:03:16.498968	4.911931E-1	2016/06/06  14:03:16.498970	-2.978121E-1
2016/06/06  14:03:16.498972	4.927712E-1	2016/06/06  14:03:16.498974	-2.879568E-1
2016/06/06  14:03:16.498976	4.896793E-1	2016/06/06  14:03:16.498978	-2.786167E-1
2016/06/06  14:03:16.498980	4.908710E-1	2016/06/06  14:03:16.498982	-2.686325E-1
2016/06/06  14:03:16.498984	4.904201E-1	2016/06/06  14:03:16.498986	-2.586484E-1
2016/06/06  14:03:16.498988	4.923525E-1	2016/06/06  14:03:16.498990	-2.485676E-1
2016/06/06  14:03:16.498992	4.941239E-1	2016/06/06  14:03:16.498994	-2.382935E-1
2016/06/06  14:03:16.498996	4.919338E-1	2016/06/06  14:03:16.498998	-2.283094E-1
2016/06/06  14:03:16.499000	4.924814E-1	2016/06/06  14:03:16.499002	-2.179709E-1
2016/06/06  14:03:16.499004	4.932865E-1	2016/06/06  14:03:16.499006	-2.078902E-1
2016/06/06  14:03:16.499008	4.932865E-1	2016/06/06  14:03:16.499010	-1.974873E-1
2016/06/06  14:03:16.499012	4.939629E-1	2016/06/06  14:03:16.499014	-1.872777E-1
2016/06/06  14:03:16.499016	4.931255E-1	2016/06/06  14:03:16.499018	-1.771325E-1
2016/06/06  14:03:16.499020	4.925136E-1	2016/06/06  14:03:16.499022	-1.670196E-1
2016/06/06  14:03:16.499024	4.942850E-1	2016/06/06  14:03:16.499026	-1.566490E-1
2016/06/06  14:03:16.499028	4.927390E-1	2016/06/06  14:03:16.499030	-1.462461E-1
2016/06/06  14:03:16.499032	4.918694E-1	2016/06/06  14:03:16.499034	-1.358433E-1
2016/06/06  14:03:16.499036	4.950901E-1	2016/06/06  14:03:16.499038	-1.254727E-1
2016/06/06  14:03:16.499040	4.934798E-1	2016/06/06  14:03:16.499042	-1.153275E-1
2016/06/06  14:03:16.499044	4.975379E-1	2016/06/06  14:03:16.499046	-1.049891E-1
2016/06/06  14:03:16.499048	4.948003E-1	2016/06/06  14:03:16.499050	-9.487619E-2
2016/06/06  14:03:16.499052	4.957665E-1	2016/06/06  14:03:16.499054	-8.437676E-2
2016/06/06  14:03:16.499056	4.945104E-1	2016/06/06  14:03:16.499058	-7.426382E-2
2016/06/06  14:03:16.499060	4.972802E-1	2016/06/06  14:03:16.499062	-6.418308E-2
2016/06/06  14:03:16.499064	4.975057E-1	2016/06/06  14:03:16.499066	-5.416676E-2
2016/06/06  14:03:16.499068	4.983109E-1	2016/06/06  14:03:16.499070	-4.395720E-2
2016/06/06  14:03:16.499072	4.940273E-1	2016/06/06  14:03:16.499074	-3.384426E-2
2016/06/06  14:03:16.499076	4.964751E-1	2016/06/06  14:03:16.499078	-2.395678E-2
2016/06/06  14:03:16.499080	4.952190E-1	2016/06/06  14:03:16.499082	-1.406929E-2
2016/06/06  14:03:16.499084	4.954444E-1	2016/06/06  14:03:16.499086	-4.310629E-3
2016/06/06  14:03:16.499088	4.934154E-1	2016/06/06  14:03:16.499090	5.641270E-3
2016/06/06  14:03:16.499092	4.933510E-1	2016/06/06  14:03:16.499094	1.549655E-2
2016/06/06  14:03:16.499096	4.980210E-1	2016/06/06  14:03:16.499098	2.515859E-2
2016/06/06  14:03:16.499100	4.957021E-1	2016/06/06  14:03:16.499102	3.462738E-2
2016/06/06  14:03:16.499104	4.948647E-1	2016/06/06  14:03:16.499106	4.406397E-2
2016/06/06  14:03:16.499108	4.949613E-1	2016/06/06  14:03:16.499110	5.369380E-2
2016/06/06  14:03:16.499112	4.973447E-1	2016/06/06  14:03:16.499114	6.296936E-2
2016/06/06  14:03:16.499116	4.958953E-1	2016/06/06  14:03:16.499118	7.250257E-2
2016/06/06  14:03:16.499120	4.970548E-1	2016/06/06  14:03:16.499122	8.155268E-2
2016/06/06  14:03:16.499124	4.973769E-1	2016/06/06  14:03:16.499126	9.076382E-2
2016/06/06  14:03:16.499128	4.948325E-1	2016/06/06  14:03:16.499130	9.987834E-2
2016/06/06  14:03:16.499132	4.968938E-1	2016/06/06  14:03:16.499134	1.089285E-1
2016/06/06  14:03:16.499136	4.976345E-1	2016/06/06  14:03:16.499138	1.177853E-1
2016/06/06  14:03:16.499140	4.959275E-1	2016/06/06  14:03:16.499142	1.263201E-1
2016/06/06  14:03:16.499144	4.969582E-1	2016/06/06  14:03:16.499146	1.350804E-1
2016/06/06  14:03:16.499148	4.947359E-1	2016/06/06  14:03:16.499150	1.437118E-1
2016/06/06  14:03:16.499152	4.957021E-1	2016/06/06  14:03:16.499154	1.523432E-1
2016/06/06  14:03:16.499156	4.964751E-1	2016/06/06  14:03:16.499158	1.606526E-1
2016/06/06  14:03:16.499160	4.966039E-1	2016/06/06  14:03:16.499162	1.690908E-1
2016/06/06  14:03:16.499164	4.943816E-1	2016/06/06  14:03:16.499166	1.774323E-1
2016/06/06  14:03:16.499168	4.981820E-1	2016/06/06  14:03:16.499170	1.855163E-1
2016/06/06  14:03:16.499172	4.960564E-1	2016/06/06  14:03:16.499174	1.934391E-1
2016/06/06  14:03:16.499176	4.983109E-1	2016/06/06  14:03:16.499178	2.012976E-1
2016/06/06  14:03:16.499180	4.997602E-1	2016/06/06  14:03:16.499182	2.091883E-1
2016/06/06  14:03:16.499184	4.958631E-1	2016/06/06  14:03:16.499186	2.165959E-1
2016/06/06  14:03:16.499188	4.994059E-1	2016/06/06  14:03:16.499190	2.242289E-1
2016/06/06  14:03:16.499192	4.969582E-1	2016/06/06  14:03:16.499194	2.319908E-1
2016/06/06  14:03:16.499196	4.967971E-1	2016/06/06  14:03:16.499198	2.392051E-1
2016/06/06  14:03:16.499200	4.975379E-1	2016/06/06  14:03:16.499202	2.467093E-1
2016/06/06  14:03:16.499204	4.979244E-1	2016/06/06  14:03:16.499206	2.535694E-1
2016/06/06  14:03:16.499208	4.986974E-1	2016/06/06  14:03:16.499210	2.609447E-1
2016/06/06  14:03:16.499212	4.975701E-1	2016/06/06  14:03:16.499214	2.677726E-1
2016/06/06  14:03:16.499216	4.981176E-1	2016/06/06  14:03:16.499218	2.746649E-1
2016/06/06  14:03:16.499220	4.978600E-1	2016/06/06  14:03:16.499222	2.814928E-1
2016/06/06  14:03:16.499224	4.981820E-1	2016/06/06  14:03:16.499226	2.879663E-1
2016/06/06  14:03:16.499228	4.996314E-1	2016/06/06  14:03:16.499230	2.944077E-1
2016/06/06  14:03:16.499232	4.990194E-1	2016/06/06  14:03:16.499234	3.008169E-1
2016/06/06  14:03:16.499236	4.975701E-1	2016/06/06  14:03:16.499238	3.074516E-1
2016/06/06  14:03:16.499240	4.985685E-1	2016/06/06  14:03:16.499242	3.136031E-1
2016/06/06  14:03:16.499244	4.983753E-1	2016/06/06  14:03:16.499246	3.195614E-1
2016/06/06  14:03:16.499248	4.992771E-1	2016/06/06  14:03:16.499250	3.257451E-1
2016/06/06  14:03:16.499252	4.958631E-1	2016/06/06  14:03:16.499254	3.316068E-1
2016/06/06  14:03:16.499256	4.985685E-1	2016/06/06  14:03:16.499258	3.374362E-1
2016/06/06  14:03:16.499260	4.982143E-1	2016/06/06  14:03:16.499262	3.429759E-1
2016/06/06  14:03:16.499264	4.973125E-1	2016/06/06  14:03:16.499266	3.486443E-1
2016/06/06  14:03:16.499268	4.976667E-1	2016/06/06  14:03:16.499270	3.539906E-1
2016/06/06  14:03:16.499272	4.976989E-1	2016/06/06  14:03:16.499274	3.593692E-1
2016/06/06  14:03:16.499276	4.985041E-1	2016/06/06  14:03:16.499278	3.647156E-1
2016/06/06  14:03:16.499280	4.974091E-1	2016/06/06  14:03:16.499282	3.697721E-1
2016/06/06  14:03:16.499284	4.987618E-1	2016/06/06  14:03:16.499286	3.750541E-1
2016/06/06  14:03:16.499288	4.976023E-1	2016/06/06  14:03:16.499290	3.800461E-1
2016/06/06  14:03:16.499292	4.976989E-1	2016/06/06  14:03:16.499294	3.850704E-1
