ModelName,WJ314
FileVersion,1
Acquisition Time,2016/06/27 14:34:17
Time/div(second),10E-09
Delay(second),0.0000E+00
Delta(second),1E-09
Acquisition Mode,Normal
Trigger Address,50
CH1 Display,On
CH2 Display,On
CH3 Display,Off
CH4 Display,Off
CH1 Volt/div,1.00E+00
CH2 Volt/div,1.00E+00
CH3 Volt/div,100E-03
CH4 Volt/div,100E-03
CH1 Offset,-3.00E+00
CH2 Offset,-3.00E+00
CH3 Offset,-52.0E-03
CH4 Offset,-152E-03
CH1 Coupling,DC1M
CH2 Coupling,DC1M
CH3 Coupling,DC1M
CH4 Coupling,DC1M
CH1 Bandwidth,Full
CH2 Bandwidth,Full
CH3 Bandwidth,Full
CH4 Bandwidth,Full
Points,101
Ch1 V,Ch2 V,Ch3 V,Ch4 V
0.00E+00,6.00E+00,,
0.00E+00,6.03E+00,,
0.00E+00,6.00E+00,,
0.00E+00,6.03E+00,,
0.00E+00,6.03E+00,,
0.00E+00,6.03E+00,,
0.00E+00,6.03E+00,,
-3.12E-02,6.03E+00,,
-3.12E-02,6.03E+00,,
0.00E+00,6.03E+00,,
-3.12E-02,6.06E+00,,
-3.12E-02,6.09E+00,,
-3.12E-02,6.06E+00,,
-3.12E-02,6.06E+00,,
-3.12E-02,6.06E+00,,
-3.12E-02,6.09E+00,,
-3.12E-02,6.06E+00,,
-3.12E-02,6.09E+00,,
-3.12E-02,6.09E+00,,
-3.12E-02,6.12E+00,,
-3.12E-02,6.12E+00,,
-3.12E-02,6.12E+00,,
-3.12E-02,6.12E+00,,
-6.25E-02,6.12E+00,,
-3.12E-02,6.12E+00,,
-6.25E-02,6.15E+00,,
-6.25E-02,6.12E+00,,
-6.25E-02,6.15E+00,,
-3.12E-02,6.18E+00,,
-6.25E-02,6.18E+00,,
-3.12E-02,6.18E+00,,
-6.25E-02,6.18E+00,,
-3.12E-02,6.15E+00,,
-3.12E-02,6.15E+00,,
-3.12E-02,6.18E+00,,
-3.12E-02,6.18E+00,,
-3.12E-02,6.18E+00,,
-3.12E-02,6.18E+00,,
0.00E+00,6.15E+00,,
0.00E+00,6.18E+00,,
6.25E-02,6.15E+00,,
1.56E-01,6.18E+00,,
3.43E-01,6.18E+00,,
6.56E-01,6.18E+00,,
1.06E+00,6.21E+00,,
1.56E+00,6.21E+00,,
2.09E+00,6.25E+00,,
2.62E+00,6.28E+00,,
3.09E+00,6.31E+00,,
3.53E+00,6.31E+00,,
3.87E+00,6.28E+00,,
4.21E+00,6.28E+00,,
4.46E+00,6.12E+00,,
4.65E+00,5.65E+00,,
4.71E+00,4.87E+00,,
4.71E+00,3.84E+00,,
4.71E+00,2.56E+00,,
4.84E+00,1.34E+00,,
5.03E+00,4.37E-01,,
5.21E+00,-1.87E-01,,
5.21E+00,-3.12E-01,,
5.12E+00,-9.37E-02,,
4.96E+00,2.18E-01,,
4.84E+00,4.06E-01,,
4.87E+00,4.06E-01,,
5.12E+00,2.81E-01,,
5.34E+00,1.87E-01,,
5.62E+00,9.37E-02,,
5.84E+00,3.12E-02,,
6.03E+00,-3.12E-02,,
6.18E+00,3.12E-02,,
6.34E+00,9.37E-02,,
6.53E+00,1.87E-01,,
6.71E+00,2.18E-01,,
6.87E+00,9.37E-02,,
6.93E+00,-9.37E-02,,
6.78E+00,-2.18E-01,,
6.50E+00,-2.81E-01,,
6.12E+00,-3.12E-01,,
5.84E+00,-2.81E-01,,
5.71E+00,-1.87E-01,,
5.65E+00,-1.25E-01,,
5.68E+00,-3.12E-02,,
5.68E+00,6.25E-02,,
5.71E+00,1.25E-01,,
5.71E+00,9.37E-02,,
5.81E+00,9.37E-02,,
5.90E+00,6.25E-02,,
6.00E+00,3.12E-02,,
6.09E+00,-6.25E-02,,
6.15E+00,-1.87E-01,,
6.09E+00,-3.12E-01,,
6.06E+00,-3.43E-01,,
5.96E+00,-3.12E-01,,
5.93E+00,-2.81E-01,,
5.90E+00,-2.50E-01,,
5.87E+00,-2.18E-01,,
5.90E+00,-2.18E-01,,
5.93E+00,-2.18E-01,,
5.93E+00,-1.87E-01,,
6.00E+00,-2.18E-01,,
